"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{85192bce-4dae-4fc4-88c4-fcc6f9c3a960}.xml", "XML", 0, 0, 22, 0, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{be31853a-1d49-4286-85bc-f5da30d4559c}.xml", "XML", 0, 0, 22, 0, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{cec5715c-a26d-4cb8-b033-d150336d8618}.xml", "XML", 0, 0, 22, 0, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ParameterPreset\{ff0d73e4-522e-468f-b3dd-fe2c6333e419}.xml", "XML", 0, 0, 22, 0, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Platform\{7f637b61-e3ff-413a-bcd3-970b1cbb73e5}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\ProfilerFolder\{e1765892-5a45-40a3-8453-ae7aba094aa2}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Return\{3af97983-b22f-48ba-847d-cb76d389a587}.xml", "XML", 0, 0, 60, 0, 1, 61
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\SandboxFolder\{1d0c1cfb-58d9-4229-a951-56f768d3508a}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\SnapshotGroup\{c209e312-c45d-481e-a94a-a64e3d62b35b}.xml", "XML", 0, 0, 8, 0, 1, 9
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Tags.xml", "XML", 0, 0, 13, 0, 1, 14
